name,concatenated,topic,region,number,requesting organization,organization_name
Eliminate Malaria: Angola 12,Eliminate Malaria - Angola (12) MapSwipe,Eliminate Malaria,Angola,12,MapSwipe,
MapSwipe roads in Zimbabwe for MSF 4 #mapuj,MapSwipe roads - Zimbabwe (4) MSF,MapSwipe roads,Zimbabwe,4,MSF,
Help MSF in Mali (4),Help - Mali (4) MSF,Help,Mali,4,MSF,
Eliminate Malaria: Angola 7,Eliminate Malaria - Angola (7) MapSwipe,Eliminate Malaria,Angola,7,MapSwipe,
Neglected tropical diseases in Liberia,Neglected tropical diseases - Liberia (1) MapSwipe,Neglected tropical diseases,Liberia,1,MapSwipe,
Tackle SGBV in Haiti with MSF,Tackle SGBV -  Haiti (1)  MSF,Tackle SGBV, Haiti,1, MSF,
Colombia Refugee Response,Refugee Response - Colombia (1) MapSwipe,Refugee Response,Colombia,1,MapSwipe,
Support demining effort : Chad 3,Support demining effort - Chad (3) MapSwipe,Support demining effort,Chad,3,MapSwipe,
MapSwipe Guatemala,MapSwipe - Guatemala (1) MapSwipe,MapSwipe,Guatemala,1,MapSwipe,
MapSwipe Nigeria for MSF 10,MapSwipe - Nigeria (10) MSF,MapSwipe,Nigeria,10,MSF,
MapSwipe Madagascar 8,MapSwipe - Madagascar (8) MapSwipe,MapSwipe,Madagascar,8,MapSwipe,
Map West Africa Borders 1,Map - West Africa Borders (1) MapSwipe,Map,West Africa Borders,1,MapSwipe,
"Niger State, Nigeria (part 4)","MapSwipe - Niger State, Nigeria (4) MapSwipe",MapSwipe,"Niger State, Nigeria",4,MapSwipe,
"Niger State, Nigeria (part 1)","MapSwipe - Niger State, Nigeria (1) MapSwipe",MapSwipe,"Niger State, Nigeria",1,MapSwipe,
HidroItuango dam in Colombia is about to burst 2,HidroItuango dam about to burst - Colombia (2) MapSwipe,HidroItuango dam about to burst,Colombia,2,MapSwipe,
"Drought in Mara, Kenya",Drought in Mara - Kenya (1) MapSwipe,Drought in Mara,Kenya,1,MapSwipe,
Swipe Chad for MSF 4,Swipe - Chad (4) MSF,Swipe,Chad,4,MSF,
Eliminate Malaria: Angola 2,Eliminate Malaria - Angola (2) MapSwipe,Eliminate Malaria,Angola,2,MapSwipe,
Map South Kivu (DRCongo) 1,Map - South Kivu (1) DRCongo,Map,South Kivu,1,DRCongo,
Map West Africa Borders 3,Map - West Africa Borders (3) MapSwipe,Map,West Africa Borders,3,MapSwipe,
Support demining effort : Chad 5,Support demining effort - Chad (5) MapSwipe,Support demining effort,Chad,5,MapSwipe,
Tanzania Rural Electrification,Rural Electrification - Tanzania (1) MapSwipe,Rural Electrification,Tanzania,1,MapSwipe,
Botswana Malaria Control 1,Malaria Control - Botswana (1) MapSwipe,Malaria Control,Botswana,1,MapSwipe,
Tanzania Rural Electrification 2,Rural Electrification - Tanzania (2) MapSwipe,Rural Electrification,Tanzania,2,MapSwipe,
HidroItuango dam in Colombia is about to burst 1,HidroItuango dam about to burst - Colombia (1) MapSwipe,HidroItuango dam about to burst,Colombia,1,MapSwipe,
Manitoba Flood Mapping 3,Flood Mapping - Manitoba (3) MapSwipe,Flood Mapping,Manitoba,3,MapSwipe,
MapSwipe Madagascar 14,MapSwipe - Madagascar (14) MapSwipe,MapSwipe,Madagascar,14,MapSwipe,
Map Philippines 13,Map - Philippines (13) MapSwipe,Map,Philippines,13,MapSwipe,
Map Philippines 15,Map - Philippines (15) MapSwipe,Map,Philippines,15,MapSwipe,
Disease elimination on Bijagos islands 5,Disease elimination - Bijagos islands (5) MapSwipe,Disease elimination,Bijagos islands,5,MapSwipe,
MapSwipe Madagascar 9,MapSwipe - Madagascar (9) MapSwipe,MapSwipe,Madagascar,9,MapSwipe,
MapSwipe Nigeria for MSF 9,MapSwipe - Nigeria (9) MSF,MapSwipe,Nigeria,9,MSF,
Map West Africa Borders 4,Map - West Africa Borders (4) MapSwipe,Map,West Africa Borders,4,MapSwipe,
Eliminate Malaria: Angola 1,Eliminate Malaria - Angola (1) MapSwipe,Eliminate Malaria,Angola,1,MapSwipe,
"Prevent FGM: Sawida, Tanzania","Prevent FGM - Sawida, Tanzania (1) MapSwipe",Prevent FGM,"Sawida, Tanzania",1,MapSwipe,
Swipe Chad for MSF 2,Swipe - Chat (2) MSF,Swipe,Chat,2,MSF,
Eliminate Malaria: Laos 5,Eliminate Malaria - Laos (5) MapSwipe,Eliminate Malaria,Laos,5,MapSwipe,
Eliminate Malaria: Cambodia 4,Eliminate Malaria - Cambodia (4) MapSwipe,Eliminate Malaria,Cambodia,4,MapSwipe,
Eliminate Malaria: Laos 4,Eliminate Malaria - Laos (4) MapSwipe,Eliminate Malaria,Laos,4,MapSwipe,
"Map Maswa, Tanzania","Map - Maswa, Tanzania (1) MapSwipe",Map,"Maswa, Tanzania",1,MapSwipe,
Map South Sudan for MSF (part 2),Map - South Sudan (2) MSF,Map,South Sudan,2,MSF,
Botswana Malaria Control 5,Malaria Control - Botswana (5) MapSwipe,Malaria Control,Botswana,5,MapSwipe,
Map West Africa Borders 2,Map - West Africa Borders (2) MapSwipe,Map,West Africa Borders,2,MapSwipe,
